date,exact value,value
28/10/2013,0.22130625,0.221
29/10/2013,0.217560417,0.218
30/10/2013,0.227283987,0.227
31/10/2013,0.221086458,0.221
1/11/2013,0.222340104,0.222
2/11/2013,0.197296875,0.197
3/11/2013,0.232105729,0.232
4/11/2013,0.24569375,0.246
5/11/2013,0.242238542,0.242
6/11/2013,0.249887489,0.25
7/11/2013,0.242533854,0.243
8/11/2013,0.250731771,0.251
9/11/2013,0.235527604,0.236
10/11/2013,0.264797052,0.265
11/11/2013,0.253805186,0.254
12/11/2013,0.224414062,0.224
13/11/2013,0.244595833,0.245
14/11/2013,0.244990104,0.245
15/11/2013,0.234595313,0.235
16/11/2013,0.231316146,0.231
17/11/2013,0.251780729,0.252
18/11/2013,0.234164583,0.234
19/11/2013,0.245166667,0.245
20/11/2013,0.261730729,0.262
21/11/2013,0.264216334,0.264
22/11/2013,0.266024479,0.266
23/11/2013,0.279041146,0.279
24/11/2013,0.286764063,0.287
25/11/2013,0.26703852,0.267
26/11/2013,0.262644271,0.263
27/11/2013,0.266447396,0.266
28/11/2013,0.25319948,0.253
29/11/2013,0.261637334,0.262
30/11/2013,0.259144791,0.259
1/12/2013,0.272392708,0.272
2/12/2013,0.266558334,0.267
3/12/2013,0.26227694,0.262
4/12/2013,0.275138542,0.275
5/12/2013,0.27120102,0.271
6/12/2013,0.282293318,0.282
7/12/2013,0.290683854,0.291
8/12/2013,0.271828646,0.272
9/12/2013,0.266711004,0.267
10/12/2013,0.274358333,0.274
11/12/2013,0.280222917,0.28
12/12/2013,0.28046875,0.28
13/12/2013,0.293904167,0.294
14/12/2013,0.291314583,0.291
15/12/2013,0.301838021,0.302
16/12/2013,0.269469792,0.269
17/12/2013,0.288148958,0.288
18/12/2013,0.279605729,0.28
19/12/2013,0.275933522,0.276
20/12/2013,0.263703646,0.264
21/12/2013,0.274863021,0.275
22/12/2013,0.259544659,0.26
23/12/2013,0.285823437,0.286
24/12/2013,0.296958576,0.297
25/12/2013,0.295975,0.296
26/12/2013,0.266051042,0.266
27/12/2013,0.281731771,0.282
28/12/2013,0.269485416,0.269
29/12/2013,0.291779167,0.292
30/12/2013,0.287370833,0.287
31/12/2013,0.295107292,0.295
1/01/2014,0.318624479,0.319
2/01/2014,0.282769792,0.283
3/01/2014,0.284636458,0.285
4/01/2014,0.27812448,0.278
5/01/2014,0.299191667,0.299
6/01/2014,0.278885228,0.279
7/01/2014,0.281220833,0.281
8/01/2014,0.271135938,0.271
9/01/2014,0.269782292,0.27
10/01/2014,0.286229687,0.286
11/01/2014,0.272582812,0.273
12/01/2014,0.314316667,0.314
13/01/2014,0.2795,0.279
14/01/2014,0.275069271,0.275
15/01/2014,0.277731771,0.278
16/01/2014,0.265770368,0.266
17/01/2014,0.246576563,0.247
18/01/2014,0.264585938,0.265
19/01/2014,0.254076108,0.254
20/01/2014,0.274815614,0.275
21/01/2014,0.285661979,0.286
22/01/2014,0.274546365,0.275
23/01/2014,0.282396387,0.282
24/01/2014,0.276726042,0.277
25/01/2014,0.273004167,0.273
26/01/2014,0.301992188,0.302
